Symbol,Date,Open,High,Low,Close,Volume
AACG,30-Dec-2022,1.23,1.32,1.13,1.2733,14400
AACI,30-Dec-2022,10.18,10.18,10.12,10.12,20600
AACIU,30-Dec-2022,10.12,10.12,10.12,10.12,0
AACIW,30-Dec-2022,0.031,0.031,0.031,0.031,0
AADI,30-Dec-2022,12.57,12.835,12.56,12.83,52900
AADR,30-Dec-2022,47.29,47.76,47.29,47.76,1200
AAL,30-Dec-2022,12.55,12.825,12.53,12.72,19002800
AAME,30-Dec-2022,2.37,2.42,2.32,2.341,5500
AAOI,30-Dec-2022,1.9,1.94,1.85,1.89,221000
AAON,30-Dec-2022,76.21,77.1125,74.82,75.32,102400
AAPB,30-Dec-2022,15.08,15.38,15.0451,15.38,900
AAPD,30-Dec-2022,30.65,30.825,30.23,30.23,180500
AAPL,30-Dec-2022,128.41,129.95,127.43,129.93,77034200
AAPU,30-Dec-2022,16.28,16.65,16.1899,16.65,64100
AAWW,30-Dec-2022,100.86,100.86,100.74,100.8,264900
AAXJ,30-Dec-2022,65.29,65.48,64.62,64.79,572500
ABCB,30-Dec-2022,46.99,47.4,46.74,47.14,301900
ABCL,30-Dec-2022,9.92,10.16,9.9,10.13,1413900
ABCM,30-Dec-2022,15.4,15.71,15.06,15.56,443800
ABEO,30-Dec-2022,2.74,3.08,2.665,3.08,241800
ABGI,30-Dec-2022,10.08,10.1,10.08,10.09,99400
ABIO,30-Dec-2022,2.4,2.42,2.3,2.37,69600
ABNB,30-Dec-2022,83.61,86.06,83.6001,85.5,3372500
ABOS,30-Dec-2022,5.24,5.41,5.1208,5.4,42100
ABSI,30-Dec-2022,2.23,2.23,2.03,2.1,736200
ABST,30-Dec-2022,9.89,10.49,9.89,10.44,69300
ABUS,30-Dec-2022,2.28,2.36,2.26,2.33,1924600
ABVC,30-Dec-2022,0.69,0.69,0.6226,0.625,40600
ACAB,30-Dec-2022,10.19,10.2,10.19,10.19,1000
ACABU,30-Dec-2022,10.18,10.18,10.18,10.18,100
ACABW,30-Dec-2022,0.0458,0.07,0.0164,0.065,1005600
ACAC,30-Dec-2022,10.23,10.26,10.22,10.22,81500
ACACU,30-Dec-2022,10.4,11.6,10.2,10.2,7300
ACAD,30-Dec-2022,15.8,15.98,15.54,15.92,814600
ACAH,30-Dec-2022,10.02,10.02,10.01,10.015,83100
ACAHU,30-Dec-2022,10.01,10.01,10.01,10.01,0
ACAHW,30-Dec-2022,0.05,0.05,0.05,0.05,700
ACAX,30-Dec-2022,10.05,10.05,10.05,10.05,0
ACB,30-Dec-2022,0.89,0.923,0.8724,0.9226,4556400
ACBA,30-Dec-2022,10.79,11.75,10.62,10.62,14800
ACBAU,30-Dec-2022,11.56,12.71,10.39,10.39,17100
ACBAW,30-Dec-2022,0.0311,0.0311,0.0311,0.0311,0
ACCD,30-Dec-2022,7.57,7.82,7.36,7.79,750000
ACDC,30-Dec-2022,24.62,25.31,23.975,25.2,631700
ACDCW,30-Dec-2022,0.0302,0.0352,0.0302,0.0302,22700
ACER,30-Dec-2022,2.52,2.665,2.45,2.51,693700
ACET,30-Dec-2022,8.45,8.94,8.4,8.94,446600
ACGL,30-Dec-2022,62.72,62.94,62.395,62.78,1116000
ACGLN,30-Dec-2022,17.92,18.0329,17.25,17.27,129300
ACGLO,30-Dec-2022,20.35,20.44,20.083,20.3,38200
ACHC,30-Dec-2022,82.18,82.49,81.01,82.32,263700
ACHL,30-Dec-2022,0.89,0.97,0.864,0.9,996500
ACHV,30-Dec-2022,2.5,2.59,2.43,2.45,72400
ACIU,30-Dec-2022,1.85,2.055,1.8,2.04,184300
ACIW,30-Dec-2022,22.88,23.095,22.76,23,883100
ACLS,30-Dec-2022,78.05,79.49,77,79.36,230000
ACLX,30-Dec-2022,31.34,31.38,30.09,30.98,284200
ACMR,30-Dec-2022,7.38,7.715,7.38,7.71,431900
ACNB,30-Dec-2022,40.45,40.7889,39.7439,39.81,6300
ACNT,30-Dec-2022,8.64,8.87,8.52,8.67,74100
ACON,30-Dec-2022,0.7109,0.7109,0.53,0.58,71100
ACONW,30-Dec-2022,0.095,0.155,0.077,0.155,2800
ACOR,30-Dec-2022,0.68,0.7785,0.66,0.7667,949700
ACQR,30-Dec-2022,10.1,10.1,10.08,10.08,75600
ACQRU,30-Dec-2022,10.06,10.06,10.06,10.06,100
ACQRW,30-Dec-2022,0.0061,0.0061,0.0061,0.0061,1900
ACRS,30-Dec-2022,16.13,16.58,15.72,15.75,326100
ACRV,30-Dec-2022,11.59,11.98,11.52,11.52,9500
ACRX,30-Dec-2022,2.08,2.34,2.08,2.26,142100
ACST,30-Dec-2022,0.5451,0.5451,0.481,0.501,184500
ACT,30-Dec-2022,23.99,24.34,23.85,24.12,77000
ACTG,30-Dec-2022,4.25,4.295,4.1,4.21,256200
ACVA,30-Dec-2022,7.84,8.25,7.8,8.21,1053700
